Standardized Performances - Grade 8 - Mathematics - 2019,,,,,,Link
Jurisdiction,Score (MN),Difference from National Public (NP) (SigDiff),SigSymbol,At or Above Basic (AB),At or Above Proficient (AP),
Alabama,269,-12,▼,57,21,
Alaska,274,-7,▼,63,29,
Arizona,280,-1,♦,68,31,
Arkansas,274,-7,▼,63,27,
California,276,-5,▼,61,29,
Colorado,285,4,▲,73,37,
Connecticut,286,5,▲,72,39,
Delaware,277,-4,▼,65,29,
District of Columbia,269,-12,▼,55,23,
DoDEA,292,11,▲,83,41,
Florida,279,-2,♦,66,31,
Georgia,279,-1,♦,67,31,
Hawaii,275,-6,▼,65,28,
Idaho,286,5,▲,74,37,
Illinois,283,2,♦,69,34,
Indiana,286,5,▲,73,37,
Iowa,282,1,♦,72,33,
Kansas,282,1,♦,71,33,
Kentucky,278,-3,▼,67,29,
Louisiana,272,-9,▼,61,23,
Maine,282,1,♦,71,34,
Maryland,280,-1,♦,65,33,
Massachusetts,294,13,▲,78,47,
Michigan,280,-1,♦,68,31,
Minnesota,291,10,▲,77,44,
Mississippi,274,-7,▼,62,24,
Missouri,281,#,♦,70,32,
Montana,284,3,▲,73,36,
National public,281,†,,68,33,
Nebraska,285,4,▲,74,37,
Nevada,274,-7,▼,62,26,
New Hampshire,287,6,▲,77,38,
New Jersey,292,11,▲,76,44,
New Mexico,269,-12,▼,56,21,
New York,280,-1,♦,66,34,
North Carolina,284,3,▲,71,37,
North Dakota,286,5,▲,75,37,
Ohio,286,5,▲,73,38,
Oklahoma,276,-5,▼,66,26,
Oregon,280,-1,♦,67,31,
Pennsylvania,285,4,▲,70,39,
Puerto Rico,222,-59,▼,9,1,
Rhode Island,276,-5,▼,64,29,
South Carolina,276,-5,▼,64,29,
South Dakota,287,6,▲,76,39,
Tennessee,280,-1,♦,68,31,
Texas,280,-1,♦,68,30,
Utah,285,4,▲,72,37,
Vermont,287,6,▲,75,38,
Virginia,287,6,▲,75,38,
Washington,286,5,▲,72,40,
West Virginia,272,-9,▼,62,24,
Wisconsin,289,8,▲,76,41,
Wyoming,286,5,▲,76,37,